,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,snow,rain,message
26,"{'lon': 18.42, 'lat': -33.93}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 290.36, 'feels_like': 287.65, 'temp_min': 288.71, 'temp_max': 291.15, 'pressure': 1016, 'humidity': 59}",10000.0,"{'speed': 3.6, 'deg': 230}",{'all': 20},1586710805.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1586668004, 'sunset': 1586708812}",7200.0,3369157.0,Cape Town,200,,,
27,"{'lon': 116.85, 'lat': -20.74}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 300.83, 'feels_like': 301.2, 'temp_min': 300.83, 'temp_max': 300.83, 'pressure': 1012, 'humidity': 62, 'sea_level': 1012, 'grnd_level': 1008}",,"{'speed': 4.57, 'deg': 45}",{'all': 37},1586710813.0,"{'country': 'AU', 'sunrise': 1586730192, 'sunset': 1586772155}",28800.0,6620339.0,Karratha,200,,,
28,"{'lon': -122.43, 'lat': 37.46}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 285.29, 'feels_like': 284.48, 'temp_min': 283.15, 'temp_max': 287.15, 'pressure': 1018, 'humidity': 100}",3219.0,"{'speed': 2.1, 'deg': 170}",{'all': 90},1586710836.0,"{'type': 1, 'id': 4322, 'country': 'US', 'sunrise': 1586698681, 'sunset': 1586745730}",-25200.0,5354943.0,Half Moon Bay,200,,,
29,"{'lon': 130.32, 'lat': 31.42}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 284.16, 'feels_like': 278.06, 'temp_min': 283.15, 'temp_max': 285.15, 'pressure': 999, 'humidity': 76}",10000.0,"{'speed': 7.7, 'deg': 270, 'gust': 12.9}",{'all': 75},1586711028.0,"{'type': 1, 'id': 7990, 'country': 'JP', 'sunrise': 1586724758, 'sunset': 1586771124}",32400.0,1859964.0,Kaseda-shirakame,200,,,
30,"{'lon': 26.89, 'lat': -33.59}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 291.48, 'feels_like': 290.77, 'temp_min': 291.48, 'temp_max': 291.48, 'pressure': 1014, 'humidity': 79}",,"{'speed': 3.13, 'deg': 253, 'gust': 7.15}",{'all': 60},1586710796.0,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1586665952, 'sunset': 1586706798}",7200.0,964432.0,Port Alfred,200,,,
31,"{'lon': -28.7, 'lat': 38.52}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 292.15, 'feels_like': 290.49, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1032, 'humidity': 72}",10000.0,"{'speed': 4.1, 'deg': 130}",{'all': 20},1586710621.0,"{'type': 1, 'id': 6883, 'country': 'PT', 'sunrise': 1586676140, 'sunset': 1586723289}",0.0,3372707.0,Ribeira Grande,200,,,
32,"{'lon': 1.01, 'lat': 20.2}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 309.26, 'feels_like': 303.65, 'temp_min': 309.26, 'temp_max': 309.26, 'pressure': 1007, 'humidity': 11, 'sea_level': 1007, 'grnd_level': 949}",,"{'speed': 5.39, 'deg': 255}",{'all': 35},1586711028.0,"{'country': 'ML', 'sunrise': 1586669982, 'sunset': 1586715189}",0.0,2449893.0,Tessalit,200,,,
33,"{'lon': -134.97, 'lat': -23.12}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 299.13, 'feels_like': 299.06, 'temp_min': 299.13, 'temp_max': 299.13, 'pressure': 1013, 'humidity': 85, 'sea_level': 1013, 'grnd_level': 1010}",,"{'speed': 7.8, 'deg': 270}",{'all': 30},1586710784.0,"{'country': 'PF', 'sunrise': 1586704324, 'sunset': 1586746105}",-32400.0,4030556.0,Rikitea,200,,{'3h': 0.51},
34,"{'lon': 55.77, 'lat': -21.36}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 294.62, 'feels_like': 295.44, 'temp_min': 290.37, 'temp_max': 297.15, 'pressure': 1017, 'humidity': 83}",10000.0,"{'speed': 3.1, 'deg': 350}",{'all': 100},1586710777.0,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1586658461, 'sunset': 1586700430}",14400.0,935215.0,Saint-Philippe,200,,{'3h': 0.34},
35,,,,,,,,,,,,,404,,,city not found
36,"{'lon': -135.01, 'lat': 68.22}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 268.37, 'feels_like': 263.58, 'temp_min': 268.15, 'temp_max': 269.15, 'pressure': 1022, 'humidity': 73}",24140.0,"{'speed': 2.6, 'deg': 110}",{'all': 75},1586710813.0,"{'type': 1, 'id': 821, 'country': 'CA', 'sunrise': 1586697430, 'sunset': 1586753019}",-21600.0,5882953.0,Aklavik,200,,,
