,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,snow,rain,message
246,,,,,,,,,,,,,404,,,city not found
247,,,,,,,,,,,,,404,,,city not found
248,"{'lon': -10.07, 'lat': 20.5}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 307.72, 'feels_like': 303.23, 'temp_min': 307.72, 'temp_max': 307.72, 'pressure': 1008, 'humidity': 11, 'sea_level': 1008, 'grnd_level': 966}",,"{'speed': 3.53, 'deg': 350}",{'all': 30},1586711050.0,"{'country': 'MR', 'sunrise': 1586672626, 'sunset': 1586717862}",0.0,2381972.0,Adrar,200,,,
249,"{'lon': 164.02, 'lat': -20.23}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 299.17, 'feels_like': 301.19, 'temp_min': 299.17, 'temp_max': 299.17, 'pressure': 1014, 'humidity': 73, 'sea_level': 1014, 'grnd_level': 1014}",,"{'speed': 2.94, 'deg': 90}",{'all': 67},1586710775.0,"{'country': 'NC', 'sunrise': 1586718847, 'sunset': 1586760862}",39600.0,2138555.0,Poum,200,,,
250,"{'lon': -72.07, 'lat': -45.58}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 283.42, 'feels_like': 281.09, 'temp_min': 282.15, 'temp_max': 284.15, 'pressure': 1019, 'humidity': 66}",10000.0,"{'speed': 1.5, 'deg': 360}",{'all': 90},1586710834.0,"{'type': 1, 'id': 8491, 'country': 'CL', 'sunrise': 1586690443, 'sunset': 1586729800}",-14400.0,3894426.0,Coyhaique,200,,,
251,"{'lon': 151.83, 'lat': -26.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 286.56, 'feels_like': 285.81, 'temp_min': 286.15, 'temp_max': 287.04, 'pressure': 1019, 'humidity': 100}",10000.0,"{'speed': 2.6, 'deg': 150}",{'all': 0},1586711050.0,"{'type': 1, 'id': 9535, 'country': 'AU', 'sunrise': 1586722050, 'sunset': 1586763510}",36000.0,2161376.0,Kingaroy,200,,,
252,"{'lon': 152.92, 'lat': -31.43}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 283.75, 'feels_like': 282.2, 'temp_min': 283.15, 'temp_max': 284.26, 'pressure': 1018, 'humidity': 93}",10000.0,"{'speed': 2.1, 'deg': 250}",{'all': 0},1586710731.0,"{'type': 1, 'id': 9610, 'country': 'AU', 'sunrise': 1586722023, 'sunset': 1586763013}",36000.0,2152659.0,Port Macquarie,200,,,
253,"{'lon': 135.17, 'lat': 49.24}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.54, 'feels_like': 273.92, 'temp_min': 276.54, 'temp_max': 276.54, 'pressure': 1015, 'humidity': 69, 'sea_level': 1015, 'grnd_level': 1007}",,"{'speed': 0.56, 'deg': 44}",{'all': 17},1586711050.0,"{'country': 'RU', 'sunrise': 1586722298, 'sunset': 1586771257}",36000.0,2020738.0,Litovko,200,,,
254,"{'lon': 148.17, 'lat': -23.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 292.41, 'feels_like': 288.5, 'temp_min': 291.48, 'temp_max': 293.15, 'pressure': 1015, 'humidity': 45}",10000.0,"{'speed': 4.6, 'deg': 150}",{'all': 75},1586711050.0,"{'type': 1, 'id': 9524, 'country': 'AU', 'sunrise': 1586722794, 'sunset': 1586764522}",36000.0,2167426.0,Emerald,200,,,
255,"{'lon': 137.58, 'lat': -33.03}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 282.15, 'feels_like': 279.39, 'temp_min': 282.15, 'temp_max': 282.15, 'pressure': 1019, 'humidity': 81}",10000.0,"{'speed': 2.6, 'deg': 270}",{'all': 83},1586711051.0,"{'type': 1, 'id': 9613, 'country': 'AU', 'sunrise': 1586725788, 'sunset': 1586766610}",34200.0,2058430.0,Whyalla,200,,,
256,"{'lon': 147.06, 'lat': -42.78}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 280.89, 'feels_like': 278.95, 'temp_min': 279.82, 'temp_max': 281.48, 'pressure': 1016, 'humidity': 93}",10000.0,"{'speed': 1.67, 'deg': 291}",{'all': 51},1586710615.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1586724085, 'sunset': 1586763764}",36000.0,2155415.0,New Norfolk,200,,,
257,"{'lon': 10.7, 'lat': 46.62}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 289.76, 'feels_like': 285.89, 'temp_min': 284.15, 'temp_max': 297.15, 'pressure': 1017, 'humidity': 37}",10000.0,"{'speed': 3.1, 'deg': 200}",{'all': 40},1586711051.0,"{'type': 1, 'id': 6813, 'country': 'IT', 'sunrise': 1586666089, 'sunset': 1586714432}",7200.0,3175096.0,Laas,200,,,
258,"{'lon': -80.2, 'lat': 44.08}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 281.13, 'feels_like': 276.9, 'temp_min': 279.82, 'temp_max': 282.59, 'pressure': 1013, 'humidity': 65}",14484.0,"{'speed': 3.6, 'deg': 160}",{'all': 90},1586710813.0,"{'type': 1, 'id': 762, 'country': 'CA', 'sunrise': 1586688087, 'sunset': 1586736058}",-14400.0,6145890.0,Shelburne,200,,,
259,"{'lon': 7.39, 'lat': 18.74}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 308.07, 'feels_like': 303.39, 'temp_min': 308.07, 'temp_max': 308.07, 'pressure': 1008, 'humidity': 9, 'sea_level': 1008, 'grnd_level': 962}",,"{'speed': 3.34, 'deg': 318}",{'all': 0},1586710505.0,"{'country': 'NE', 'sunrise': 1586668515, 'sunset': 1586713594}",3600.0,2447513.0,Arlit,200,,,
260,"{'lon': 6.61, 'lat': 36.37}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 292.15, 'feels_like': 289.9, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1018, 'humidity': 59}",10000.0,"{'speed': 3.6, 'deg': 280}",{'all': 75},1586710821.0,"{'type': 1, 'id': 1074, 'country': 'DZ', 'sunrise': 1586667810, 'sunset': 1586714673}",3600.0,2501152.0,Constantine,200,,,
261,"{'lon': 120.32, 'lat': 63.45}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 269.7, 'feels_like': 265.5, 'temp_min': 269.7, 'temp_max': 269.7, 'pressure': 1024, 'humidity': 97, 'sea_level': 1024, 'grnd_level': 1010}",,"{'speed': 2.45, 'deg': 247}",{'all': 48},1586710786.0,"{'country': 'RU', 'sunrise': 1586723778, 'sunset': 1586776904}",32400.0,2013639.0,Verkhnevilyuysk,200,,,
262,"{'lon': 18.42, 'lat': 50.88}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 292.23, 'feels_like': 288.38, 'temp_min': 292.04, 'temp_max': 292.59, 'pressure': 1014, 'humidity': 57}",10000.0,"{'speed': 5.7, 'deg': 210}",{'all': 0},1586711051.0,"{'type': 1, 'id': 1705, 'country': 'PL', 'sunrise': 1586663838, 'sunset': 1586712978}",7200.0,3090158.0,Olesno,200,,,
263,"{'lon': -45.24, 'lat': 60.14}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 274.92, 'feels_like': 266.36, 'temp_min': 274.92, 'temp_max': 274.92, 'pressure': 1006, 'humidity': 86, 'sea_level': 1006, 'grnd_level': 1006}",,"{'speed': 9.33, 'deg': 135}",{'all': 78},1586710773.0,"{'country': 'GL', 'sunrise': 1586677863, 'sunset': 1586729504}",-7200.0,3421765.0,Nanortalik,200,{'3h': 0.42},,
264,"{'lon': 147.27, 'lat': -2.02}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 301.26, 'feels_like': 305.65, 'temp_min': 301.26, 'temp_max': 301.26, 'pressure': 1009, 'humidity': 74, 'sea_level': 1009, 'grnd_level': 1009}",,"{'speed': 1.24, 'deg': 104}",{'all': 26},1586710788.0,"{'country': 'PG', 'sunrise': 1586722149, 'sunset': 1586765598}",36000.0,2092164.0,Lorengau,200,,,
265,"{'lon': 44.4, 'lat': 33.34}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 296.15, 'feels_like': 293.22, 'temp_min': 296.15, 'temp_max': 296.15, 'pressure': 1013, 'humidity': 35}",10000.0,"{'speed': 3.1, 'deg': 320}",{'all': 20},1586710635.0,"{'type': 1, 'id': 7597, 'country': 'IQ', 'sunrise': 1586658927, 'sunset': 1586705420}",10800.0,98182.0,Baghdad,200,,,
266,"{'lon': 150.8, 'lat': -2.57}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 301.9, 'feels_like': 306.2, 'temp_min': 301.9, 'temp_max': 301.9, 'pressure': 1009, 'humidity': 72, 'sea_level': 1009, 'grnd_level': 1008}",,"{'speed': 1.5, 'deg': 9}",{'all': 73},1586710811.0,"{'country': 'PG', 'sunrise': 1586721323, 'sunset': 1586764730}",36000.0,2094342.0,Kavieng,200,,,
267,"{'lon': -120.46, 'lat': 34.64}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 285.55, 'feels_like': 283.92, 'temp_min': 283.15, 'temp_max': 288.15, 'pressure': 1019, 'humidity': 81}",16093.0,"{'speed': 2.1, 'deg': 260}",{'all': 90},1586710795.0,"{'type': 1, 'id': 4747, 'country': 'US', 'sunrise': 1586698383, 'sunset': 1586745083}",-25200.0,5367788.0,Lompoc,200,,,
268,"{'lon': 20.74, 'lat': -8.42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 294.63, 'feels_like': 296.07, 'temp_min': 294.63, 'temp_max': 294.63, 'pressure': 1011, 'humidity': 71, 'sea_level': 1011, 'grnd_level': 907}",,"{'speed': 0.78, 'deg': 133}",{'all': 93},1586711051.0,"{'country': 'AO', 'sunrise': 1586666363, 'sunset': 1586709339}",3600.0,145724.0,Lucapa,200,,{'3h': 2.78},
269,"{'lon': 102.1, 'lat': 16.54}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 297.25, 'feels_like': 296.59, 'temp_min': 297.25, 'temp_max': 297.25, 'pressure': 1013, 'humidity': 62, 'sea_level': 1013, 'grnd_level': 987}",,"{'speed': 3.98, 'deg': 106}",{'all': 83},1586711052.0,"{'country': 'TH', 'sunrise': 1586732247, 'sunset': 1586777179}",25200.0,1611026.0,Chum Phae,200,,{'3h': 0.32},
270,"{'lon': -51.19, 'lat': 68.82}","[{'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09d'}]",stations,"{'temp': 277.15, 'feels_like': 268.49, 'temp_min': 277.15, 'temp_max': 277.15, 'pressure': 994, 'humidity': 69}",,"{'speed': 9.3, 'deg': 160}",{'all': 100},1586711052.0,"{'type': 1, 'id': 165, 'country': 'GL', 'sunrise': 1586677172, 'sunset': 1586733051}",-7200.0,3420768.0,Qasigiannguit,200,,,
271,"{'lon': -173.3, 'lat': 64.38}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 269.03, 'feels_like': 265.15, 'temp_min': 269.03, 'temp_max': 269.03, 'pressure': 1013, 'humidity': 96, 'sea_level': 1013, 'grnd_level': 1001}",,"{'speed': 1.87, 'deg': 63}",{'all': 100},1586710780.0,"{'country': 'RU', 'sunrise': 1586793856, 'sunset': 1586847739}",43200.0,4031574.0,Provideniya,200,,,
272,"{'lon': -41.05, 'lat': -21.64}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 297.15, 'feels_like': 297.45, 'temp_min': 297.15, 'temp_max': 297.15, 'pressure': 1017, 'humidity': 73}",10000.0,"{'speed': 4.1, 'deg': 200}",{'all': 75},1586710880.0,"{'type': 1, 'id': 8337, 'country': 'BR', 'sunrise': 1586681715, 'sunset': 1586723641}",-10800.0,3448903.0,São João da Barra,200,,,
273,"{'lon': -52.95, 'lat': 5.38}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 300.55, 'feels_like': 300.83, 'temp_min': 300.55, 'temp_max': 300.55, 'pressure': 1012, 'humidity': 73, 'sea_level': 1012, 'grnd_level': 1012}",,"{'speed': 6.41, 'deg': 38}",{'all': 97},1586710818.0,"{'country': 'GF', 'sunrise': 1586683528, 'sunset': 1586727539}",-10800.0,3380290.0,Sinnamary,200,,{'3h': 0.16},
274,"{'lon': -23.71, 'lat': 64.89}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 278.4, 'feels_like': 270.8, 'temp_min': 278.4, 'temp_max': 278.4, 'pressure': 1026, 'humidity': 89, 'sea_level': 1026, 'grnd_level': 1022}",,"{'speed': 8.87, 'deg': 163}",{'all': 87},1586710626.0,"{'country': 'IS', 'sunrise': 1586671739, 'sunset': 1586725296}",0.0,3414079.0,Olafsvik,200,,{'3h': 0.13},
275,"{'lon': 48.8, 'lat': -19.9}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 297.84, 'feels_like': 300.9, 'temp_min': 297.84, 'temp_max': 297.84, 'pressure': 1019, 'humidity': 80, 'sea_level': 1019, 'grnd_level': 1019}",,"{'speed': 1.61, 'deg': 60}",{'all': 98},1586711052.0,"{'country': 'MG', 'sunrise': 1586660074, 'sunset': 1586702161}",10800.0,1062553.0,Mahanoro,200,,{'3h': 2.62},
276,"{'lon': 55.29, 'lat': -20.94}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 293.72, 'feels_like': 292.05, 'temp_min': 290.37, 'temp_max': 297.15, 'pressure': 1018, 'humidity': 88}",10000.0,"{'speed': 6.7, 'deg': 130}",{'all': 75},1586711052.0,"{'type': 1, 'id': 2133, 'country': 'RE', 'sunrise': 1586658559, 'sunset': 1586700562}",14400.0,935616.0,Le Port,200,,,
277,"{'lon': 126.98, 'lat': 37.57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 279.44, 'feels_like': 276.03, 'temp_min': 276.15, 'temp_max': 281.15, 'pressure': 1015, 'humidity': 52}",10000.0,"{'speed': 1.5, 'deg': 40}",{'all': 1},1586710325.0,"{'type': 1, 'id': 8117, 'country': 'KR', 'sunrise': 1586725190, 'sunset': 1586772296}",32400.0,1835848.0,Seoul,200,,,
278,,,,,,,,,,,,,404,,,city not found
279,"{'lon': 97.2, 'lat': 40.28}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 282.44, 'feels_like': 278.81, 'temp_min': 282.44, 'temp_max': 282.44, 'pressure': 1018, 'humidity': 20, 'sea_level': 1018, 'grnd_level': 856}",,"{'speed': 0.58, 'deg': 200}",{'all': 47},1586711052.0,"{'country': 'CN', 'sunrise': 1586732146, 'sunset': 1586779632}",28800.0,1528998.0,Yumen,200,,,
280,"{'lon': -79.52, 'lat': 8.99}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 304.38, 'feels_like': 308.44, 'temp_min': 303.15, 'temp_max': 305.15, 'pressure': 1012, 'humidity': 66}",8000.0,"{'speed': 2.6, 'deg': 90}",{'all': 40},1586710935.0,"{'type': 1, 'id': 7190, 'country': 'PA', 'sunrise': 1586689763, 'sunset': 1586734055}",-18000.0,3703443.0,Panama City,200,,,
281,"{'lon': 107.79, 'lat': 36.65}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 280.76, 'feels_like': 276.18, 'temp_min': 280.76, 'temp_max': 280.76, 'pressure': 1022, 'humidity': 26, 'sea_level': 1022, 'grnd_level': 874}",,"{'speed': 2.11, 'deg': 143}",{'all': 39},1586711052.0,"{'country': 'CN', 'sunrise': 1586729850, 'sunset': 1586776845}",28800.0,1786110.0,Yuancheng,200,,,
282,"{'lon': 15.64, 'lat': 78.22}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 255.15, 'feels_like': 250.41, 'temp_min': 255.15, 'temp_max': 255.15, 'pressure': 1017, 'humidity': 64}",10000.0,{'speed': 1.5},{'all': 40},1586710558.0,"{'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 1586654322, 'sunset': 1586723828}",7200.0,2729907.0,Longyearbyen,200,,,
283,"{'lon': 108.9, 'lat': 0.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.6, 'feels_like': 302.33, 'temp_min': 298.6, 'temp_max': 298.6, 'pressure': 1010, 'humidity': 91, 'sea_level': 1010, 'grnd_level': 1009}",,"{'speed': 2.88, 'deg': 25}",{'all': 96},1586711052.0,"{'country': 'ID', 'sunrise': 1586731252, 'sunset': 1586774910}",25200.0,1625908.0,Sungai Raya,200,,,
284,"{'lon': -44.36, 'lat': -6.37}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 303.62, 'feels_like': 308.17, 'temp_min': 303.62, 'temp_max': 303.62, 'pressure': 1009, 'humidity': 67, 'sea_level': 1009, 'grnd_level': 987}",,"{'speed': 1.51, 'deg': 119}",{'all': 93},1586711052.0,"{'country': 'BR', 'sunrise': 1586681910, 'sunset': 1586725035}",-10800.0,3394813.0,Mirador,200,,{'3h': 2.52},
285,"{'lon': 167.48, 'lat': -22.67}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 298.25, 'feels_like': 299.61, 'temp_min': 298.25, 'temp_max': 298.25, 'pressure': 1015, 'humidity': 77, 'sea_level': 1015, 'grnd_level': 1009}",,"{'speed': 3.87, 'deg': 275}",{'all': 27},1586710840.0,"{'country': 'NC', 'sunrise': 1586718120, 'sunset': 1586759928}",39600.0,2137773.0,Vao,200,,{'3h': 0.59},
286,"{'lon': -8.33, 'lat': 40.16}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 289.62, 'feels_like': 285.37, 'temp_min': 288.71, 'temp_max': 290.37, 'pressure': 1014, 'humidity': 72}",10000.0,"{'speed': 6.7, 'deg': 340}",{'all': 40},1586710837.0,"{'type': 1, 'id': 6896, 'country': 'PT', 'sunrise': 1586671146, 'sunset': 1586718507}",3600.0,2738381.0,Lata,200,,,
287,"{'lon': -156.47, 'lat': 20.89}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 292.73, 'feels_like': 293.26, 'temp_min': 291.48, 'temp_max': 294.15, 'pressure': 1019, 'humidity': 94}",2816.0,"{'speed': 3.6, 'deg': 340}",{'all': 90},1586710786.0,"{'type': 1, 'id': 7879, 'country': 'US', 'sunrise': 1586707725, 'sunset': 1586753023}",-36000.0,5847411.0,Kahului,200,,{'1h': 1.65},
288,"{'lon': 173.78, 'lat': -35.1}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 289.24, 'feels_like': 290.59, 'temp_min': 288.71, 'temp_max': 289.82, 'pressure': 1003, 'humidity': 94}",,"{'speed': 0.45, 'deg': 319, 'gust': 1.34}",{'all': 54},1586711053.0,"{'type': 3, 'id': 2012217, 'country': 'NZ', 'sunrise': 1586717205, 'sunset': 1586757820}",43200.0,2189343.0,Kaeo,200,,,
289,"{'lon': -70.48, 'lat': -25.4}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 293.79, 'feels_like': 292.93, 'temp_min': 293.79, 'temp_max': 293.79, 'pressure': 1017, 'humidity': 60, 'sea_level': 1017, 'grnd_level': 1014}",,"{'speed': 2.37, 'deg': 278}",{'all': 39},1586711053.0,"{'country': 'CL', 'sunrise': 1586688942, 'sunset': 1586730538}",-14400.0,3870243.0,Taltal,200,,,
290,"{'lon': 22.75, 'lat': -29.66}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 294.85, 'feels_like': 291.31, 'temp_min': 294.85, 'temp_max': 294.85, 'pressure': 1015, 'humidity': 35, 'sea_level': 1015, 'grnd_level': 913}",,"{'speed': 3.62, 'deg': 205}",{'all': 71},1586711053.0,"{'country': 'ZA', 'sunrise': 1586666754, 'sunset': 1586707984}",7200.0,964090.0,Prieska,200,,,
291,"{'lon': -104.7, 'lat': 19.22}","[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",stations,"{'temp': 299.15, 'feels_like': 301.96, 'temp_min': 299.15, 'temp_max': 299.15, 'pressure': 1014, 'humidity': 78}",4828.0,"{'speed': 2.6, 'deg': 150}",{'all': 40},1586710793.0,"{'type': 1, 'id': 7166, 'country': 'MX', 'sunrise': 1586695381, 'sunset': 1586740521}",-18000.0,3985168.0,San Patricio,200,,,
292,"{'lon': -54.13, 'lat': -26.62}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 300.97, 'feels_like': 298.5, 'temp_min': 300.97, 'temp_max': 300.97, 'pressure': 1013, 'humidity': 19, 'sea_level': 1013, 'grnd_level': 950}",,"{'speed': 1.16, 'deg': 343}",{'all': 0},1586711053.0,"{'country': 'AR', 'sunrise': 1586685072, 'sunset': 1586726562}",-10800.0,3428068.0,San Vicente,200,,,
293,"{'lon': 71.72, 'lat': 40.43}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 290.15, 'feels_like': 287.16, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1015, 'humidity': 67}",10000.0,"{'speed': 4.67, 'deg': 261}",{'all': 100},1586711053.0,"{'type': 1, 'id': 9011, 'country': 'UZ', 'sunrise': 1586651936, 'sunset': 1586699300}",18000.0,1513491.0,Yangi Marg`ilon,200,,,
294,"{'lon': -34.86, 'lat': -8.01}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 304.15, 'feels_like': 306.44, 'temp_min': 304.15, 'temp_max': 304.15, 'pressure': 1011, 'humidity': 62}",10000.0,"{'speed': 4.1, 'deg': 120}",{'all': 40},1586711053.0,"{'type': 1, 'id': 8426, 'country': 'BR', 'sunrise': 1586679692, 'sunset': 1586722694}",-10800.0,3393536.0,Olinda,200,,,
295,"{'lon': 141.88, 'lat': 39.27}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 280.63, 'feels_like': 275.36, 'temp_min': 280.63, 'temp_max': 280.63, 'pressure': 1011, 'humidity': 81, 'sea_level': 1011, 'grnd_level': 1011}",,"{'speed': 5.76, 'deg': 76}",{'all': 98},1586711053.0,"{'country': 'JP', 'sunrise': 1586721504, 'sunset': 1586768831}",32400.0,2112444.0,Kamaishi,200,,{'3h': 0.33},
296,"{'lon': 5.17, 'lat': 43.38}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 290.92, 'feels_like': 286.66, 'temp_min': 289.82, 'temp_max': 292.15, 'pressure': 1018, 'humidity': 39}",10000.0,"{'speed': 4.1, 'deg': 180}",{'all': 89},1586711054.0,"{'type': 1, 'id': 6512, 'country': 'FR', 'sunrise': 1586667677, 'sunset': 1586715498}",7200.0,3026227.0,Châteauneuf-les-Martigues,200,,,
297,,,,,,,,,,,,,404,,,city not found
298,"{'lon': 77.5, 'lat': 27.72}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 303.48, 'feels_like': 299.93, 'temp_min': 303.48, 'temp_max': 303.48, 'pressure': 1007, 'humidity': 21, 'sea_level': 1007, 'grnd_level': 986}",,"{'speed': 3.63, 'deg': 294}",{'all': 38},1586711054.0,"{'country': 'IN', 'sunrise': 1586651286, 'sunset': 1586697176}",19800.0,1274343.0,Chhāta,200,,,
299,"{'lon': 144.07, 'lat': -4.06}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 296.7, 'feels_like': 301.19, 'temp_min': 296.7, 'temp_max': 296.7, 'pressure': 1010, 'humidity': 97, 'sea_level': 1010, 'grnd_level': 1009}",,"{'speed': 1.12, 'deg': 231}",{'all': 99},1586711054.0,"{'country': 'PG', 'sunrise': 1586722995, 'sunset': 1586766288}",36000.0,2100765.0,Angoram,200,,{'3h': 1},
300,"{'lon': -78.15, 'lat': -10.07}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 301.37, 'feels_like': 300.89, 'temp_min': 301.37, 'temp_max': 301.37, 'pressure': 1015, 'humidity': 56, 'sea_level': 1015, 'grnd_level': 1013}",,"{'speed': 5.04, 'deg': 203}",{'all': 10},1586710814.0,"{'country': 'PE', 'sunrise': 1586690159, 'sunset': 1586733002}",-18000.0,3939168.0,Huarmey,200,,,
301,"{'lon': 74.52, 'lat': 63.79}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 273.9, 'feels_like': 269.46, 'temp_min': 273.9, 'temp_max': 273.9, 'pressure': 1020, 'humidity': 95, 'sea_level': 1020, 'grnd_level': 1005}",,"{'speed': 3.52, 'deg': 171}",{'all': 100},1586711054.0,"{'country': 'RU', 'sunrise': 1586648476, 'sunset': 1586701416}",18000.0,1540711.0,Muravlenko,200,,,
302,"{'lon': -80.35, 'lat': 41}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.71, 'feels_like': 284.68, 'temp_min': 287.59, 'temp_max': 292.04, 'pressure': 1012, 'humidity': 41}",16093.0,"{'speed': 5.1, 'deg': 160, 'gust': 9.3}",{'all': 90},1586711054.0,"{'type': 1, 'id': 6332, 'country': 'US', 'sunrise': 1586688354, 'sunset': 1586735863}",-14400.0,5203127.0,New Castle,200,,,
303,"{'lon': 21.55, 'lat': 29.03}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 294.76, 'feels_like': 290.4, 'temp_min': 294.76, 'temp_max': 294.76, 'pressure': 1018, 'humidity': 21, 'sea_level': 1018, 'grnd_level': 1013}",,"{'speed': 3.07, 'deg': 25}",{'all': 0},1586711054.0,"{'country': 'LY', 'sunrise': 1586664638, 'sunset': 1586710675}",7200.0,86049.0,Jalu,200,,,
